Train Episode: 101	Loss: 0.573212	Accuracy: 0.820	MetaParam_1: 0.013175	MetaParam_2: -0.035709	MetaParam_3: 0.004835
Train Episode: 102	Loss: 1.130445	Accuracy: 0.580	MetaParam_1: 0.013233	MetaParam_2: -0.035990	MetaParam_3: 0.004811
Train Episode: 103	Loss: 0.507730	Accuracy: 0.800	MetaParam_1: 0.013295	MetaParam_2: -0.036294	MetaParam_3: 0.004860
Train Episode: 104	Loss: 0.806509	Accuracy: 0.740	MetaParam_1: 0.013385	MetaParam_2: -0.036650	MetaParam_3: 0.004920
Train Episode: 105	Loss: 0.828173	Accuracy: 0.680	MetaParam_1: 0.013468	MetaParam_2: -0.037036	MetaParam_3: 0.004982
Train Episode: 106	Loss: 0.903718	Accuracy: 0.600	MetaParam_1: 0.013486	MetaParam_2: -0.037403	MetaParam_3: 0.005019
Train Episode: 107	Loss: 0.580415	Accuracy: 0.740	MetaParam_1: 0.013431	MetaParam_2: -0.037790	MetaParam_3: 0.005009
Train Episode: 108	Loss: 0.639399	Accuracy: 0.720	MetaParam_1: 0.013349	MetaParam_2: -0.038245	MetaParam_3: 0.005042
Train Episode: 109	Loss: 0.457546	Accuracy: 0.800	MetaParam_1: 0.013272	MetaParam_2: -0.038651	MetaParam_3: 0.005054
Train Episode: 110	Loss: 0.812151	Accuracy: 0.680	MetaParam_1: 0.013146	MetaParam_2: -0.039050	MetaParam_3: 0.005131
Train Episode: 111	Loss: 0.573571	Accuracy: 0.800	MetaParam_1: 0.013022	MetaParam_2: -0.039449	MetaParam_3: 0.005222
Train Episode: 112	Loss: 0.338929	Accuracy: 0.880	MetaParam_1: 0.012911	MetaParam_2: -0.039828	MetaParam_3: 0.005295
Train Episode: 113	Loss: 0.779997	Accuracy: 0.740	MetaParam_1: 0.012823	MetaParam_2: -0.040301	MetaParam_3: 0.005358
Train Episode: 114	Loss: 0.826814	Accuracy: 0.520	MetaParam_1: 0.012748	MetaParam_2: -0.040810	MetaParam_3: 0.005383
Train Episode: 115	Loss: 0.645829	Accuracy: 0.820	MetaParam_1: 0.012620	MetaParam_2: -0.041142	MetaParam_3: 0.005420
Train Episode: 116	Loss: 1.758986	Accuracy: 0.580	MetaParam_1: 0.012492	MetaParam_2: -0.041500	MetaParam_3: 0.005469
Train Episode: 117	Loss: 0.502727	Accuracy: 0.800	MetaParam_1: 0.012159	MetaParam_2: -0.041487	MetaParam_3: 0.005568
Train Episode: 118	Loss: 0.420590	Accuracy: 0.860	MetaParam_1: 0.011862	MetaParam_2: -0.041540	MetaParam_3: 0.005650
Train Episode: 119	Loss: 0.426933	Accuracy: 0.840	MetaParam_1: 0.011594	MetaParam_2: -0.041588	MetaParam_3: 0.005685
Train Episode: 120	Loss: 0.699766	Accuracy: 0.780	MetaParam_1: 0.011373	MetaParam_2: -0.041635	MetaParam_3: 0.005723
Train Episode: 121	Loss: 0.738868	Accuracy: 0.620	MetaParam_1: 0.011209	MetaParam_2: -0.041712	MetaParam_3: 0.005674
Train Episode: 122	Loss: 0.609918	Accuracy: 0.760	MetaParam_1: 0.010995	MetaParam_2: -0.041848	MetaParam_3: 0.005609
Train Episode: 123	Loss: 0.602558	Accuracy: 0.780	MetaParam_1: 0.010812	MetaParam_2: -0.042027	MetaParam_3: 0.005559
Train Episode: 124	Loss: 1.137787	Accuracy: 0.560	MetaParam_1: 0.010653	MetaParam_2: -0.042204	MetaParam_3: 0.005535
Train Episode: 125	Loss: 0.817464	Accuracy: 0.740	MetaParam_1: 0.010466	MetaParam_2: -0.042477	MetaParam_3: 0.005531
Train Episode: 126	Loss: 1.308392	Accuracy: 0.500	MetaParam_1: 0.010295	MetaParam_2: -0.042766	MetaParam_3: 0.005544
Train Episode: 127	Loss: 0.671681	Accuracy: 0.700	MetaParam_1: 0.010083	MetaParam_2: -0.042917	MetaParam_3: 0.005490
Train Episode: 128	Loss: 0.562086	Accuracy: 0.800	MetaParam_1: 0.009911	MetaParam_2: -0.043064	MetaParam_3: 0.005472
Train Episode: 129	Loss: 1.283898	Accuracy: 0.680	MetaParam_1: 0.009766	MetaParam_2: -0.043176	MetaParam_3: 0.005420
Train Episode: 130	Loss: 1.112286	Accuracy: 0.440	MetaParam_1: 0.009518	MetaParam_2: -0.043196	MetaParam_3: 0.005437
Train Episode: 131	Loss: 0.939730	Accuracy: 0.800	MetaParam_1: 0.009356	MetaParam_2: -0.043042	MetaParam_3: 0.005369
Train Episode: 132	Loss: 1.225788	Accuracy: 0.660	MetaParam_1: 0.009377	MetaParam_2: -0.043073	MetaParam_3: 0.005175
Train Episode: 133	Loss: 0.714063	Accuracy: 0.700	MetaParam_1: 0.009519	MetaParam_2: -0.043158	MetaParam_3: 0.004943
Train Episode: 134	Loss: 0.937992	Accuracy: 0.660	MetaParam_1: 0.009589	MetaParam_2: -0.043238	MetaParam_3: 0.004796
Train Episode: 135	Loss: 0.789834	Accuracy: 0.760	MetaParam_1: 0.009713	MetaParam_2: -0.043323	MetaParam_3: 0.004690
Train Episode: 136	Loss: 0.971351	Accuracy: 0.660	MetaParam_1: 0.009806	MetaParam_2: -0.043318	MetaParam_3: 0.004560
Train Episode: 137	Loss: 1.196997	Accuracy: 0.520	MetaParam_1: 0.009871	MetaParam_2: -0.043276	MetaParam_3: 0.004480
Train Episode: 138	Loss: 0.841303	Accuracy: 0.700	MetaParam_1: 0.009881	MetaParam_2: -0.043254	MetaParam_3: 0.004542
Train Episode: 139	Loss: 0.812596	Accuracy: 0.740	MetaParam_1: 0.009922	MetaParam_2: -0.043259	MetaParam_3: 0.004651
Train Episode: 140	Loss: 0.322703	Accuracy: 0.920	MetaParam_1: 0.009945	MetaParam_2: -0.043185	MetaParam_3: 0.004698
Train Episode: 141	Loss: 0.970929	Accuracy: 0.740	MetaParam_1: 0.009985	MetaParam_2: -0.043137	MetaParam_3: 0.004785
Train Episode: 142	Loss: 1.273720	Accuracy: 0.500	MetaParam_1: 0.009940	MetaParam_2: -0.043076	MetaParam_3: 0.004921
Train Episode: 143	Loss: 0.642296	Accuracy: 0.700	MetaParam_1: 0.009903	MetaParam_2: -0.043098	MetaParam_3: 0.005083
Train Episode: 144	Loss: 1.523518	Accuracy: 0.460	MetaParam_1: 0.009817	MetaParam_2: -0.043063	MetaParam_3: 0.005255
Train Episode: 145	Loss: 0.616449	Accuracy: 0.820	MetaParam_1: 0.009645	MetaParam_2: -0.043015	MetaParam_3: 0.005386
Train Episode: 146	Loss: 0.521013	Accuracy: 0.860	MetaParam_1: 0.009563	MetaParam_2: -0.043104	MetaParam_3: 0.005530
Train Episode: 147	Loss: 0.485046	Accuracy: 0.860	MetaParam_1: 0.009489	MetaParam_2: -0.043224	MetaParam_3: 0.005697
Train Episode: 148	Loss: 0.425859	Accuracy: 0.800	MetaParam_1: 0.009450	MetaParam_2: -0.043441	MetaParam_3: 0.005867
Train Episode: 149	Loss: 0.537180	Accuracy: 0.820	MetaParam_1: 0.009478	MetaParam_2: -0.043698	MetaParam_3: 0.005958
Train Episode: 150	Loss: 0.874803	Accuracy: 0.560	MetaParam_1: 0.009540	MetaParam_2: -0.044011	MetaParam_3: 0.006065
Train Episode: 151	Loss: 0.393580	Accuracy: 0.880	MetaParam_1: 0.009693	MetaParam_2: -0.044321	MetaParam_3: 0.006177
Train Episode: 152	Loss: 0.784598	Accuracy: 0.660	MetaParam_1: 0.009883	MetaParam_2: -0.044651	MetaParam_3: 0.006243
Train Episode: 153	Loss: 0.712758	Accuracy: 0.700	MetaParam_1: 0.010106	MetaParam_2: -0.044932	MetaParam_3: 0.006326
Train Episode: 154	Loss: 1.329427	Accuracy: 0.600	MetaParam_1: 0.010355	MetaParam_2: -0.045282	MetaParam_3: 0.006387
Train Episode: 155	Loss: 0.818207	Accuracy: 0.740	MetaParam_1: 0.010510	MetaParam_2: -0.045608	MetaParam_3: 0.006456
Train Episode: 156	Loss: 0.845423	Accuracy: 0.660	MetaParam_1: 0.010593	MetaParam_2: -0.045863	MetaParam_3: 0.006527
Train Episode: 157	Loss: 1.003086	Accuracy: 0.500	MetaParam_1: 0.010693	MetaParam_2: -0.046175	MetaParam_3: 0.006541
Train Episode: 158	Loss: 0.728000	Accuracy: 0.680	MetaParam_1: 0.010731	MetaParam_2: -0.046305	MetaParam_3: 0.006654
Train Episode: 159	Loss: 0.977321	Accuracy: 0.640	MetaParam_1: 0.010836	MetaParam_2: -0.046484	MetaParam_3: 0.006750
Train Episode: 160	Loss: 0.894197	Accuracy: 0.660	MetaParam_1: 0.010792	MetaParam_2: -0.046522	MetaParam_3: 0.006828
Train Episode: 161	Loss: 0.835194	Accuracy: 0.640	MetaParam_1: 0.010791	MetaParam_2: -0.046571	MetaParam_3: 0.006879
Train Episode: 162	Loss: 0.572293	Accuracy: 0.820	MetaParam_1: 0.010710	MetaParam_2: -0.046652	MetaParam_3: 0.006979
Train Episode: 163	Loss: 0.631985	Accuracy: 0.780	MetaParam_1: 0.010657	MetaParam_2: -0.046709	MetaParam_3: 0.007031
Train Episode: 164	Loss: 0.870207	Accuracy: 0.680	MetaParam_1: 0.010651	MetaParam_2: -0.046768	MetaParam_3: 0.007004
Train Episode: 165	Loss: 0.949562	Accuracy: 0.680	MetaParam_1: 0.010557	MetaParam_2: -0.046770	MetaParam_3: 0.006908
Train Episode: 166	Loss: 0.788791	Accuracy: 0.760	MetaParam_1: 0.010455	MetaParam_2: -0.046830	MetaParam_3: 0.006873
Train Episode: 167	Loss: 0.839315	Accuracy: 0.740	MetaParam_1: 0.010378	MetaParam_2: -0.046891	MetaParam_3: 0.006821
Train Episode: 168	Loss: 0.711504	Accuracy: 0.760	MetaParam_1: 0.010232	MetaParam_2: -0.046809	MetaParam_3: 0.006723
Train Episode: 169	Loss: 1.184221	Accuracy: 0.600	MetaParam_1: 0.010132	MetaParam_2: -0.046749	MetaParam_3: 0.006617
Train Episode: 170	Loss: 0.545522	Accuracy: 0.780	MetaParam_1: 0.009978	MetaParam_2: -0.046678	MetaParam_3: 0.006513
Train Episode: 171	Loss: 0.360261	Accuracy: 0.900	MetaParam_1: 0.009942	MetaParam_2: -0.046715	MetaParam_3: 0.006336
Train Episode: 172	Loss: 1.265352	Accuracy: 0.640	MetaParam_1: 0.009900	MetaParam_2: -0.046743	MetaParam_3: 0.006191
Train Episode: 173	Loss: 0.873963	Accuracy: 0.620	MetaParam_1: 0.009854	MetaParam_2: -0.046685	MetaParam_3: 0.006068
Train Episode: 174	Loss: 0.612732	Accuracy: 0.840	MetaParam_1: 0.009901	MetaParam_2: -0.046739	MetaParam_3: 0.005893
Train Episode: 175	Loss: 0.478350	Accuracy: 0.820	MetaParam_1: 0.009981	MetaParam_2: -0.046874	MetaParam_3: 0.005786
Train Episode: 176	Loss: 0.870802	Accuracy: 0.760	MetaParam_1: 0.010096	MetaParam_2: -0.047059	MetaParam_3: 0.005655
Train Episode: 177	Loss: 0.991270	Accuracy: 0.580	MetaParam_1: 0.010125	MetaParam_2: -0.047102	MetaParam_3: 0.005588
Train Episode: 178	Loss: 0.639493	Accuracy: 0.780	MetaParam_1: 0.010163	MetaParam_2: -0.047208	MetaParam_3: 0.005548
