Episode: 115, v_learner_vector: tensor([[-0.0102,  0.0268]], device='cuda:0') 
Episode: 116, v_learner_vector: tensor([[-0.0100,  0.0266]], device='cuda:0') 
Episode: 117, v_learner_vector: tensor([[-0.0099,  0.0265]], device='cuda:0') 
Episode: 118, v_learner_vector: tensor([[-0.0097,  0.0263]], device='cuda:0') 
Episode: 119, v_learner_vector: tensor([[-0.0096,  0.0261]], device='cuda:0') 
Episode: 120, v_learner_vector: tensor([[-0.0095,  0.0260]], device='cuda:0') 
Episode: 121, v_learner_vector: tensor([[-0.0094,  0.0259]], device='cuda:0') 
Episode: 122, v_learner_vector: tensor([[-0.0093,  0.0258]], device='cuda:0') 
Episode: 123, v_learner_vector: tensor([[-0.0092,  0.0257]], device='cuda:0') 
Episode: 124, v_learner_vector: tensor([[-0.0092,  0.0256]], device='cuda:0') 
Episode: 125, v_learner_vector: tensor([[-0.0091,  0.0255]], device='cuda:0') 
Episode: 126, v_learner_vector: tensor([[-0.0090,  0.0255]], device='cuda:0') 
Episode: 127, v_learner_vector: tensor([[-0.0090,  0.0254]], device='cuda:0') 
Episode: 128, v_learner_vector: tensor([[-0.0089,  0.0254]], device='cuda:0') 
Episode: 129, v_learner_vector: tensor([[-0.0089,  0.0253]], device='cuda:0') 
Episode: 130, v_learner_vector: tensor([[-0.0089,  0.0253]], device='cuda:0') 
Episode: 131, v_learner_vector: tensor([[-0.0088,  0.0253]], device='cuda:0') 
Episode: 132, v_learner_vector: tensor([[-0.0088,  0.0253]], device='cuda:0') 
Episode: 133, v_learner_vector: tensor([[-0.0088,  0.0252]], device='cuda:0') 
Episode: 134, v_learner_vector: tensor([[-0.0088,  0.0252]], device='cuda:0') 
Episode: 135, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 136, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 137, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 138, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 139, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 140, v_learner_vector: tensor([[-0.0087,  0.0252]], device='cuda:0') 
Episode: 141, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 142, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 143, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
Episode: 144, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 145, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 146, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 147, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 148, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 149, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 150, v_learner_vector: tensor([[-0.0086,  0.0251]], device='cuda:0') 
Episode: 151, v_learner_vector: tensor([[-0.0086,  0.0252]], device='cuda:0') 
